"id","time_parse","channel","usr_parse","msg_parse"
21,"2023-10-12 00:03:21","#atropa","CTCPServ!services","VERSION"
28,"2023-10-12 00:08:20","#atropa","SHVDXW9!~SHVDXW9",". :SHVDXW9!~SHVDXW9@116.90.74.132 PRIVMSG #atropa :. ________________ /\___________ :SHVDXW9!~SHVDXW9@116.90.74.132 PRIVMSG #atropa :. \ ____ \/ _________/ - --------+ :SHVDXW9!~SHVDXW9@116.90.74.132 PRIVMSG #atropa :. \/ \/ _ _/\____ \/ \ Tristar & :SHVDXW9!~SHVDXW9@116.90.74.132 PRIVMSG #atropa :. / rtx! \ | \_ | \ \ Red Sector"
29,"2023-10-12 00:08:21","#atropa","SHVDXW9!~SHVDXW9",". \ ____/___|__ /_____ / ____/ Inc. :SHVDXW9!~SHVDXW9@116.90.74.132 PRIVMSG #atropa :. +-\/-----------\/------\/\/---------------+"
30,"2023-10-12 00:08:23","#atropa","SHVDXW9!~SHVDXW9","."
48,"2023-10-12 00:32:59","#atropa","CTCPServ!services","VERSION"
5324,"2023-10-12 02:24:14","#atropa","mwmw!~oftc-webi","hi"
5325,"2023-10-12 02:24:54","#atropa","FREEDOM_Tokens777!uid622718","shadow_: what is this ?"
5326,"2023-10-12 02:27:44","#atropa","mwmw!~oftc-webi","Do you guys check Atropa newly launhed tokens manually? How do u guys keep track of it and ape?"
5328,"2023-10-12 02:35:59","#atropa","FREEDOM_Tokens777!uid622718","and can translate that over to a different chain."
5329,"2023-10-12 02:44:51","#atropa","mwmw!~oftc-webi","Thanks, @FREEDOM_Tokens777. I'm familiar with using blockchain. Is there a quick way to get notified only when the 414 token is launched and liquidity is added, or is manual monitoring the only option?"
5343,"2023-10-12 05:03:10","#atropa","juice_!uid622850","Maria"
5344,"2023-10-12 05:03:16","#atropa","juice_!uid622850","Are we about to breakout?"
5345,"2023-10-12 05:03:23","#atropa","juice_!uid622850","I THINK SO"
5349,"2023-10-12 05:15:41","#atropa","BotBuy!~oftc-webi","If anyone is interested in using a bot on Pulsechain for quick buying, selling, or sniping, here's a bot you can use: https://t.me/prodigySniperBot?start=PDAIS1"
5365,"2023-10-12 07:00:24","#atropa","Cryptic420!~oftc-webi","Hey"
5376,"2023-10-12 07:23:11","#atropa","FREEDOM_Tokens777!uid622718","Freedom!!! 🫡"
5380,"2023-10-12 08:30:39","#atropa","robin_!uid622846","Buenos dias a tod@s"
5384,"2023-10-12 08:50:24","#atropa","billie!uid623186","I am really glad with everthing going on in Pulsechain right now. Atropa dev is GOAT"
5389,"2023-10-12 09:29:53","#atropa","Cryptic420!~oftc-webi","You're right on that ser"
5390,"2023-10-12 09:30:04","#atropa","Cryptic420!~oftc-webi","Maria is the biggest inspiration of my life"
5391,"2023-10-12 09:30:12","#atropa","Cryptic420!~oftc-webi","Thank you @mariarahel"
5415,"2023-10-12 12:05:32","#atropa","rootkit2411!~rootkit24","what happening with the cia token? @mariarahel it's deployed by you?"
5416,"2023-10-12 12:16:53","#atropa","Cryptic420!~oftc-webi","It minted to 7000 supply"
5423,"2023-10-12 12:28:06","#atropa","SHVDXW9!~SHVDXW9",". :SHVDXW9!~SHVDXW9@116.90.74.149 PRIVMSG #atropa :. <e> ______. · :SHVDXW9!~SHVDXW9@116.90.74.149 PRIVMSG #atropa :. _________\___ |_____: _______- -----------. :SHVDXW9!~SHVDXW9@116.90.74.149 PRIVMSG #atropa :. \__ _ / | |/ _ \ PiRATES | :SHVDXW9!~SHVDXW9@116.90.74.149 PRIVMSG #atropa :. / /____/ /¬\ | _/ \_ WiTH |"
5424,"2023-10-12 12:28:07","#atropa","SHVDXW9!~SHVDXW9",". /______| \____/¯\____|___\ / ATTiTUDE | :SHVDXW9!~SHVDXW9@116.90.74.149 PRIVMSG #atropa :. <-------------------------\____/-----------'"
5425,"2023-10-12 12:28:09","#atropa","SHVDXW9!~SHVDXW9",". VIttUSAAtANAJUMALAUtAKYRPÄPERÄREIKÄPRGLE :SHVDXW9!~SHVDXW9@116.90.74.149 PRIVMSG #atropa :."
5426,"2023-10-12 12:31:10","#atropa","PassportPowell!~PassportP","CIA looing minty fresh today"
5427,"2023-10-12 12:33:09","#atropa","SHVDXW9!~SHVDXW9",". :SHVDXW9!~SHVDXW9@116.90.74.149 PRIVMSG #atropa :. ._____. _ __/\__ _ <e> /\ · :SHVDXW9!~SHVDXW9@116.90.74.149 PRIVMSG #atropa :. ___| |________/\ _ ________/ .\|__ _ :SHVDXW9!~SHVDXW9@116.90.74.149 PRIVMSG #atropa :. \___ _______ \ _______ \\ :SHVDXW9!~SHVDXW9@116.90.74.149 PRIVMSG #atropa :. ÷---| |/ __/ _/_____ \\____/cRACkED"
5428,"2023-10-12 12:33:11","#atropa","SHVDXW9!~SHVDXW9",". | | :| \__ \ | \ | ²dAY: :SHVDXW9!~SHVDXW9@116.90.74.149 PRIVMSG #atropa :. | | ||____/ ·________/____|"
5429,"2023-10-12 12:33:13","#atropa","SHVDXW9!~SHVDXW9",". ÷---|_____|---/________/--------------- - - :SHVDXW9!~SHVDXW9@116.90.74.149 PRIVMSG #atropa :."
5430,"2023-10-12 12:33:40","#atropa","PassportPowell!~PassportP","<SHVDXW9> Shit annoying now, please stop"
5433,"2023-10-12 12:39:49","#atropa","pano!~pano","Looks like every tx hash of the mint is giving 414 only 1 CiA while 999 went to Billie the goat. Might this be a reward for him because he provided LP and burned the LP?"
5434,"2023-10-12 12:40:08","#atropa","SHVDXW9!~SHVDXW9","<PassportPowell> its just ascii art dude, u'll enjoy it much more on pc"
5435,"2023-10-12 12:43:41","#atropa","Cryptic420!~oftc-webi","I wonder if Maria smokes weed"
5436,"2023-10-12 12:43:56","#atropa","Cryptic420!~oftc-webi","@mariarahel do you like to smoke weed?"
5446,"2023-10-12 13:16:31","#atropa","robin_!uid622846","No lo se si fuma hierba pero esto es infumable pump and dump"
5457,"2023-10-12 13:28:46","#atropa","paradise!uid623107","ᒠ1ᒠ6ᒠ7 renounced same at teddy?"
5467,"2023-10-12 13:49:03","#atropa","Guest3098!~oftc-webi","are we going to see new coins launched to re-route the liquidity?/"
5469,"2023-10-12 14:02:09","#atropa","billie!uid623186","Got my fluffy slippers on right now and working hard at something. CiA is still going to moon again."
5470,"2023-10-12 14:05:54","#atropa","FREEDOM_Tokens777!uid622718","billie: lfg BILLIE!"
5473,"2023-10-12 14:13:58","#atropa","Cryptic420!~oftc-webi","Lets go Billy"
5476,"2023-10-12 14:27:09","#atropa","teddybearpulse!uid622740","You mean i should buy a shitload of cia now billie ? 🤪"
5478,"2023-10-12 14:29:58","#atropa","_surfacing8671!~oftc-webi","what happened to cia?"
5480,"2023-10-12 14:36:44","#atropa","Guest3098!~oftc-webi","CiA"
5481,"2023-10-12 14:37:14","#atropa","alexander_as_helios!alexander_","psy op"
5482,"2023-10-12 14:37:45","#atropa","_surfacing8671!~oftc-webi","so people sold for no reason??"
5483,"2023-10-12 14:38:14","#atropa","alexander_as_helios!alexander_","always a reason sir"
5484,"2023-10-12 14:38:48","#atropa","_surfacing8671!~oftc-webi","yeah you are very true there"
5487,"2023-10-12 14:45:54","#atropa","FREEDOM_Tokens777!uid622718","🫡 will be another fun day."
5488,"2023-10-12 14:46:06","#atropa","_surfacing8671!~oftc-webi","dam son looks like a lot were minted"
5489,"2023-10-12 14:47:20","#atropa","_surfacing8671!~oftc-webi","and were sold yeah id get outa that as well. interesting thing tho, the main wallet wasnt the one who minted the tokens."
5490,"2023-10-12 14:52:04","#atropa","Guest3098!~oftc-webi","CiA gonna start the climb back up?"
5496,"2023-10-12 15:00:04","#atropa","_surfacing8671!~oftc-webi","id keep an eye on it. the top holder who got minted it has only sold and transferred those tokens."
5497,"2023-10-12 15:06:58","#atropa","FREEDOM_Tokens777!uid622718","Pulsechain is the Freedom Chain. The Best Chain, Don't lose hope we only just getting started. We got good people in the background that we should have absolutely no expectations of but should be grateful for. Keep learning keep growing and keep moving forward we gonna make it 👍"
5498,"2023-10-12 15:07:22","#atropa","Guest2885!uid623245","FREEDOM_Tokens777: 🙏"
5499,"2023-10-12 15:07:34","#atropa","FREEDOM_Tokens777!uid622718","Keep adding value to the network in your own way and help it grow 🙏"
5500,"2023-10-12 15:08:32","#atropa","FREEDOM_Tokens777!uid622718","Helping one of my business buddies to get a get a few million pdai today and get him set up with socials so he can have fun too."
5502,"2023-10-12 15:08:53","#atropa","Guest2885!uid623245","CiA is steadily climbing back up…nice to see. It feels like some experimentation going on…"
5504,"2023-10-12 15:09:20","#atropa","FREEDOM_Tokens777!uid622718","Maybe a little magic I think."
5506,"2023-10-12 15:09:42","#atropa","Guest2885!uid623245","Yup…so much learning packed in this one"
5507,"2023-10-12 15:09:43","#atropa","PulsePerza_!~oftc-webi","Love the attitude @freedom_token777!!"
5509,"2023-10-12 15:09:55","#atropa","Guest2885!uid623245","Bursting paradigms"
5510,"2023-10-12 15:10:17","#atropa","FREEDOM_Tokens777!uid622718","I'm grateful to be here yo!!! This is awesome."
5511,"2023-10-12 15:12:27","#atropa","_surfacing8671!~oftc-webi","there sure is a lot of learning to be had that is forsure !"
5512,"2023-10-12 15:17:08","#atropa","FREEDOM_Tokens777!uid622718","Yes learning is super fun and mistakes are the best way to learn and evolve, I wouldn't be where I am today if it wasn't for the mistakes I've made and not letting emotion get the best of me, especially when it comes to Money. We gotta keep moving forward. Break through the Matrix 🙏"
5513,"2023-10-12 15:17:36","#atropa","FREEDOM_Tokens777!uid622718","🫡"
5514,"2023-10-12 15:20:12","#atropa","_surfacing8671!~oftc-webi","yeah i mean i learn a whole bunch of new stuff every day."
5515,"2023-10-12 15:21:23","#atropa","_surfacing8671!~oftc-webi","in defi the advantage you have over anyone else is knowlege. its always important to learn. like when staking becomes unlocked people will dump and thats when you buy not right before for example."
5531,"2023-10-12 16:06:17","#atropa","Tetragrammaton6!~oftc-webi","So does anyone know for sure what happened with the CIA minting?"
5532,"2023-10-12 16:07:40","#atropa","_surfacing8671!~oftc-webi","someone clicked the mint button"
5533,"2023-10-12 16:08:04","#atropa","Tetragrammaton6!~oftc-webi","I think a lot of this is a test, with the top holder and ownership transfer and whatnot. There's certainly some in the space i hope don't acquire privileges such as minting and ownership"
5534,"2023-10-12 16:08:44","#atropa","Tetragrammaton6!~oftc-webi","right. And how did they gain the ability to do this? i assume this privilege was unique to this person, for whatever reason"
5535,"2023-10-12 16:08:56","#atropa","_surfacing8671!~oftc-webi","anyone can mint. its up to the person who it all got minted to, to do what the community thinks is right ;)"
5536,"2023-10-12 16:09:15","#atropa","Tetragrammaton6!~oftc-webi","ok gotcha. Thanks for clarifying!"
5537,"2023-10-12 16:09:35","#atropa","_surfacing8671!~oftc-webi","thats the true test imo"
5538,"2023-10-12 16:10:18","#atropa","_surfacing8671!~oftc-webi","and well he sold it and sent some to dif addresses soooo haha. he could have burned it or added liquidity and then burned it ya know"
5540,"2023-10-12 16:11:49","#atropa","Tetragrammaton6!~oftc-webi","to the GOAT, i assume. Asmodeus"
5541,"2023-10-12 16:11:54","#atropa","Tetragrammaton6!~oftc-webi","iiiiiiinteresting"
5542,"2023-10-12 16:12:36","#atropa","_surfacing8671!~oftc-webi","yeah i mean the chain doesnt lie and it shows there true color"
5543,"2023-10-12 16:12:55","#atropa","_surfacing8671!~oftc-webi","kinda awesome in a way but sucks for those that lost in the crash."
5546,"2023-10-12 16:14:07","#atropa","Tetragrammaton6!~oftc-webi","the greedy and the wicked come to light, sooner or later!"
5547,"2023-10-12 16:14:26","#atropa","_surfacing8671!~oftc-webi","they surly do"
5548,"2023-10-12 16:15:40","#atropa","Grav!~Grav","Sup, any further details on 'operation zehlenlehrerproduktion' provided?"
5549,"2023-10-12 16:15:44","#atropa","mariarahel!~maria","the mintable tokens were set up with that in mind, in the case of CiA the entire liquidity was put up by the minter so they only crashed themselves"
5550,"2023-10-12 16:16:20","#atropa","mariarahel!~maria","i don't honestly expect any of the stock-like tokens to survive"
5551,"2023-10-12 16:16:44","#atropa","Tetragrammaton6!~oftc-webi","makes sense. The folly of man will condemn them"
5552,"2023-10-12 16:17:24","#atropa","mariarahel!~maria","there is opportunity for the persons rewarded with mintable outcome to manage them like a fund, so far I have not seen that"
5553,"2023-10-12 16:17:34","#atropa","_surfacing8671!~oftc-webi","whats a stock-like token?"
5554,"2023-10-12 16:17:49","#atropa","mariarahel!~maria","the KPOP token has the best chance of making it from the numerics"
5557,"2023-10-12 16:19:04","#atropa","Tetragrammaton6!~oftc-webi","ill have to go back and dig that one up. Not the tokenized asset, but the other one?"
5559,"2023-10-12 16:20:02","#atropa","mariarahel!~maria","my goal currently is to solidly define the atropa ecosystem as a 'production composure'"
5560,"2023-10-12 16:20:53","#atropa","Tetragrammaton6!~oftc-webi","zehlenlehrerproduktion being a relevant term, i assume"
5561,"2023-10-12 16:21:12","#atropa","mariarahel!~maria","the assets set up to fail are designed to have minimal effect on the directed orientation"
5563,"2023-10-12 16:21:26","#atropa","mariarahel!~maria","that's the best word i can come up with"
5564,"2023-10-12 16:21:33","#atropa","CryptoPaul!~oftc-webi","Hey everybody, I'm glad I found this channel. I spent quite some time analyzing many Atropa token"
5565,"2023-10-12 16:22:01","#atropa","Tetragrammaton6!~oftc-webi","It makes sense, as did your warning a couple days back"
5566,"2023-10-12 16:22:21","#atropa","FREEDOM_Tokens777!uid622718","Yay Maria is back!!"
5567,"2023-10-12 16:22:32","#atropa","mariarahel!~maria","the total locked up in the assets projected to fail was about $17k"
5568,"2023-10-12 16:24:27","#atropa","FREEDOM_Tokens777!uid622718","_surfacing8671: lol nice!!!"
5569,"2023-10-12 16:24:29","#atropa","tetra33!uid622978","Can you tell us anything more about this “second layer” set to come? Or is that better left in the dark for now"
5570,"2023-10-12 16:24:29","#atropa","mariarahel!~maria","so far it's been pretty good, i still expect to introduce more easter eggs in the future probably tied to top holder positions on specific assets at the time"
5571,"2023-10-12 16:24:48","#atropa","_surfacing8671!~oftc-webi","do you determine if they are to fail based on the initial performance or pre determined before launch"
5572,"2023-10-12 16:25:37","#atropa","mariarahel!~maria","the second layer is a mathematical parasite that will hook into the blockchain with core numerics to define the originating equations of a complex big-bang like origin"
5573,"2023-10-12 16:26:18","#atropa","FREEDOM_Tokens777!uid622718","Lots of waves on the blockchain."
5574,"2023-10-12 16:26:34","#atropa","mariarahel!~maria","so far the definition of producing an equation that defines 'water' has held true for long enough I am beginning to consider it valid"
5575,"2023-10-12 16:27:10","#atropa","CryptoPaul!~oftc-webi","Is there any unsolved riddle?"
5576,"2023-10-12 16:27:22","#atropa","Grav!~Grav","Freedoms wave theory confirmed."
5577,"2023-10-12 16:27:38","#atropa","mariarahel!~maria","the Pi() function here: https://github.com/busytoby/dysnomia/blob/master/vs2022/Dysnomia/006_%E9%94%9A.h"
5578,"2023-10-12 16:28:05","#atropa","mariarahel!~maria","it's not much harder than a background in diffie-hellman but only more complex"
5579,"2023-10-12 16:29:36","#atropa","thanosdawhale!uid623058","hi"
5580,"2023-10-12 16:29:49","#atropa","mariarahel!~maria","it is considered mathematically equivalent to the production of first water steam from the planet organism because the Barns alone stay stable across the ongoing production of 锚"
